RprtDt,StateCd,NDISDsbltyGrpNm,ICDDsbltyNm,Primary,Reported
30JUN2022,VIC,Hearing Impairment,H90 - Hearing loss,6124,8789
30JUN2022,VIC,Hearing Impairment,Q16.9 - Congenital hearing condition,55,123
30JUN2022,VIC,Intellectual Disability,F70 - Mild intellectual disability,6331,9682
30JUN2022,VIC,Intellectual Disability,F71 - Moderate intellectual disability,5822,8186
30JUN2022,VIC,Intellectual Disability,F72 - Severe intellectual disability,1470,2139
30JUN2022,VIC,Intellectual Disability,F73 - Profound intellectual disability,197,298
30JUN2022,VIC,Intellectual Disability,F79 - Unspecified intellectual disability [try not to use],5831,10027
30JUN2022,VIC,Intellectual Disability,F84.8 - Pervasive developmental disorder [try not to use],23,73
30JUN2022,VIC,Intellectual Disability,Q02 - Microcephaly,134,283
30JUN2022,VIC,Intellectual Disability,"Q04 - Other congenital brain conditions, for example tuberous sclerosis",109,166
30JUN2022,VIC,Intellectual Disability,Q05 - Spina bifida,481,552
30JUN2022,VIC,Intellectual Disability,Q86.0 - Foetal alcohol syndrome,110,170
30JUN2022,VIC,Intellectual Disability,Q860D - Foetal Alcohol Spectrum Disorder (FASD),77,98
30JUN2022,VIC,Intellectual Disability,Q87.1 - Cornelia de Lange syndrome,47,57
30JUN2022,VIC,Intellectual Disability,Q87.1 - Prader Willi syndrome,147,157
30JUN2022,VIC,Intellectual Disability,Q87.8 - Coffin-Lowry syndrome,14,14
30JUN2022,VIC,Intellectual Disability,Q89 - Other congenital conditions,482,770
30JUN2022,VIC,Intellectual Disability,Q91 - Edwards syndrome,<11,<11
30JUN2022,VIC,Intellectual Disability,Q91 - Patau syndrome,<11,<11
30JUN2022,VIC,Intellectual Disability,Q93.4 - Cri du  Chat syndrome,42,45
30JUN2022,VIC,Intellectual Disability,Q93.5 - Angelman  syndrome,96,107
30JUN2022,VIC,Intellectual Disability,"Q99 - Other chromosomal conditions not listed elsewhere, including Kabuki syndrome,Williams syndrome",1311,1931
30JUN2022,VIC,Intellectual Disability,Q99.2 - Fragile X syndrome,314,390
30JUN2022,VIC,Missing,,<11,94771
30JUN2022,VIC,Missing,F849 - Migrated Record with DD or GDD [Needs to be updated in CRM],<11,26
30JUN2022,VIC,Multiple Sclerosis,G35 - Multiple sclerosis,2954,3013
30JUN2022,VIC,Other,B22 - Human immune deficiency virus (HIV) disease,<11,29
30JUN2022,VIC,Other,B99 - Other unspecified infectious diseases,19,33
30JUN2022,VIC,Other,C71 - Malignant neoplasm of brain,<11,<11
30JUN2022,VIC,Other,C79.9 - Metastatic cancer,13,20
30JUN2022,VIC,Other,C96 - Malignant neoplasm of blood or immune disease,<11,<11
30JUN2022,VIC,Other,D89.9 - Autoimmune disorders,11,23
30JUN2022,VIC,Other,E14 - Diabetes mellitus,16,971
30JUN2022,VIC,Other,E66 - Obesity,<11,221
30JUN2022,VIC,Other,E70.0 - Classical Phenylketonuria,<11,<11
30JUN2022,VIC,Other,E74.4 - Disorders of pyruvate metabolism and gluconeogenesis,<11,<11
30JUN2022,VIC,Other,E88 - Other metabolic disorders,62,82
30JUN2022,VIC,Other,F03.9 - Dementia - Rapidly progressing,45,53
30JUN2022,VIC,Other,F44.4 - Functional neurological disorder (FND),18,41
30JUN2022,VIC,Other,F44.5 - Functional Seizures,<11,<11
30JUN2022,VIC,Other,F80 - Other Language disorder,22,88
30JUN2022,VIC,Other,F80.9 - Development language disorder,16,57
30JUN2022,VIC,Other,F81.0 - Specific learning disorder,12,30
30JUN2022,VIC,Other,F81.8 - Dysgraphia,<11,18
30JUN2022,VIC,Other,F90 - Attention deficit hyperactive disorder (ADHD),52,828
30JUN2022,VIC,Other,F90.0 - Peripheral neuropathy,46,70
30JUN2022,VIC,Other,F91.3 - Oppositional Defiant Disorder (ODD),<11,132
30JUN2022,VIC,Other,F91.9 - Conduct Disorder (CD),<11,14
30JUN2022,VIC,Other,G11.8 - Other hereditary ataxias,<11,<11
30JUN2022,VIC,Other,G30.0 - Dementia - Early Onset,114,166
30JUN2022,VIC,Other,G83.1 - Plegia,29,46
30JUN2022,VIC,Other,G89.4 - Chronic pain,13,71
30JUN2022,VIC,Other,G90.5 - Chronic Regional Pain Syndrome,<11,18
30JUN2022,VIC,Other,I49.8 - Postural Orthostatic Tachycardia Syndrome (POTS),<11,17
30JUN2022,VIC,Other,I89.0 - Lymphoedema,<11,40
30JUN2022,VIC,Other,J44.9 - Chronic lung disease,25,103
30JUN2022,VIC,Other,J449A - Chronic Obstructive Pulmonary Disease (COPD),21,55
30JUN2022,VIC,Other,M19.9 - Osteoarthritis,15,121
30JUN2022,VIC,Other,M32 - Systemic lupus erythematosus,<11,17
30JUN2022,VIC,Other,M45 - Ankylosing spondylitis,16,27
30JUN2022,VIC,Other,M79.7 - Fibromyalgia,16,98
30JUN2022,VIC,Other,N18 - Renal failure,16,76
30JUN2022,VIC,Other,Q37 - Cleft palate and lip,<11,51
30JUN2022,VIC,Other,Q79.6 - Ehlers Danlos,48,73
30JUN2022,VIC,Other,R48 - Dyslexia,<11,24
30JUN2022,VIC,Other,R48.2 - Childhood apraxia of speech,159,199
30JUN2022,VIC,Other,R53.8 - Chronic fatigue /ME,19,43
30JUN2022,VIC,Other,R62.5 - Short stature,<11,<11
30JUN2022,VIC,Other,S14.3 - Brachial plexus injury,11,18
30JUN2022,VIC,Other,Z89 - Amputation - Single limb or upper/lower limb,396,433
30JUN2022,VIC,Other,Z89.1 - Amputation - Multiple,58,66
30JUN2022,VIC,Other Neurological,F00 - Alzheimer's disease,421,474
30JUN2022,VIC,Other Neurological,F03 - Unspecified dementia,211,337
30JUN2022,VIC,Other Neurological,G10 - Huntington disease,253,264
30JUN2022,VIC,Other Neurological,G12.2 - Motor neuron disease (also called amytrophic lateral sclerosis),201,203
30JUN2022,VIC,Other Neurological,G20 - Parkinson's disease,637,715
30JUN2022,VIC,Other Neurological,G40 - Epilepsy,247,4267
30JUN2022,VIC,Other Neurological,G71.0 - Muscular dystrophy,605,682
30JUN2022,VIC,Other Neurological,G99 - Other Neurological,2419,4894
30JUN2022,VIC,Other Neurological,G99 - Other Neurological (List A),82,121
30JUN2022,VIC,Other Neurological,G99 - Other Neurological (List C),22,29
30JUN2022,VIC,Other Physical,M05 - Rheumatoid arthritis,380,592
30JUN2022,VIC,Other Physical,M12 - Other arthritis,91,556
30JUN2022,VIC,Other Physical,M95 - Other Physical,3709,10719
30JUN2022,VIC,Other Physical,T05 - Multiple traumatic amputations,141,163
30JUN2022,VIC,Other Sensory/Speech,R47 - Other Sensory/Speech,501,4241
30JUN2022,VIC,Psychosocial disability,F11 - Alcohol dependency,<11,136
30JUN2022,VIC,Psychosocial disability,F19 - Other substance dependency,<11,176
30JUN2022,VIC,Psychosocial disability,F20 - Schizophrenia,7401,8795
30JUN2022,VIC,Psychosocial disability,F25.9 - Schizoaffective Disorder,712,819
30JUN2022,VIC,Psychosocial disability,F31 - Bipolar affective disorder,1816,2977
30JUN2022,VIC,Psychosocial disability,F32 - Major depressive illness,1935,5116
30JUN2022,VIC,Psychosocial disability,F41 - Other Anxiety disorders,769,8150
30JUN2022,VIC,Psychosocial disability,F42 - Obsessive-compulsive disorder,91,714
30JUN2022,VIC,Psychosocial disability,F43 - Post traumatic stress disorder (PTSD),613,1457
30JUN2022,VIC,Psychosocial disability,F60.3 - Borderline personality disorder,954,1858
30JUN2022,VIC,Psychosocial disability,F95.2 - Tourette syndrome,<11,44
30JUN2022,VIC,Psychosocial disability,F99 - Other psychosocial disorders,4058,8139
30JUN2022,VIC,Psychosocial disability,R63 - Anorexia,<11,22
30JUN2022,VIC,Spinal Cord Injury,C72.5 - Malignant neoplasm of spinal cord (Complete),<11,<11
30JUN2022,VIC,Spinal Cord Injury,C72.7 - Malignant neoplasm of spinal cord (Incomplete),<11,<11
30JUN2022,VIC,Spinal Cord Injury,T09.5 - Spinal cord injury (Complete),386,423
30JUN2022,VIC,Spinal Cord Injury,T09.7 - Spinal cord injury (Incomplete),552,632
30JUN2022,VIC,Stroke,I69 - Stroke,1791,2340
30JUN2022,VIC,Visual Impairment,E70.3 - Albinism,17,34
30JUN2022,VIC,Visual Impairment,F72.9 - Myopathy (variations),20,23
30JUN2022,VIC,Visual Impairment,H54 - Visual impairment (including blindness),2741,5035
30JUN2022,VIC,Visual Impairment,Q15.9 - Congenital eye condition,21,46
30JUN2022,WA,ABI,G71.9 - Glioblastoma,<11,<11
30JUN2022,WA,ABI,G93.1 - Hypoxic brain injury,36,49
30JUN2022,WA,ABI,T90 - Traumatic brain injury [also called head injury and acquired brain damage],1405,1632
30JUN2022,WA,Autism,F84.0 - Autism disorder,16612,17640
30JUN2022,WA,Autism,F84.2 - Rett syndrome,42,45
30JUN2022,WA,Autism,F84.5 - Asperger syndrome,78,131
30JUN2022,WA,Cerebral Palsy,G80 - Cerebral palsy,1749,2200
30JUN2022,WA,Developmental delay,F84.90 - Developmental delay [not to be used over 6 years of age ],2073,2259
30JUN2022,WA,Down Syndrome,Q90 - Down syndrome,1089,1131
30JUN2022,WA,Global developmental delay,F84.91 - Global developmental delay [not to be used over 6 years of age],1196,1835
30JUN2022,WA,Hearing Impairment,H90 - Hearing loss,1980,2845
30JUN2022,WA,Hearing Impairment,Q16.9 - Congenital hearing condition,14,50
30JUN2022,WA,Intellectual Disability,F70 - Mild intellectual disability,825,1195
30JUN2022,WA,Intellectual Disability,F71 - Moderate intellectual disability,1004,1314
30JUN2022,WA,Intellectual Disability,F72 - Severe intellectual disability,255,364
30JUN2022,WA,Intellectual Disability,F73 - Profound intellectual disability,112,165
30JUN2022,WA,Intellectual Disability,F79 - Unspecified intellectual disability [try not to use],3955,5245
30JUN2022,WA,Intellectual Disability,F84.8 - Pervasive developmental disorder [try not to use],15,22
30JUN2022,WA,Intellectual Disability,Q02 - Microcephaly,33,96
30JUN2022,WA,Intellectual Disability,"Q04 - Other congenital brain conditions, for example tuberous sclerosis",51,77
30JUN2022,WA,Intellectual Disability,Q05 - Spina bifida,184,209
30JUN2022,WA,Intellectual Disability,Q86.0 - Foetal alcohol syndrome,159,214
30JUN2022,WA,Intellectual Disability,Q860D - Foetal Alcohol Spectrum Disorder (FASD),148,179
30JUN2022,WA,Intellectual Disability,Q87.1 - Cornelia de Lange syndrome,25,29
30JUN2022,WA,Intellectual Disability,Q87.1 - Prader Willi syndrome,55,60
30JUN2022,WA,Intellectual Disability,Q87.8 - Coffin-Lowry syndrome,<11,<11
30JUN2022,WA,Intellectual Disability,Q89 - Other congenital conditions,171,272
30JUN2022,WA,Intellectual Disability,Q91 - Edwards syndrome,<11,<11
30JUN2022,WA,Intellectual Disability,Q91 - Patau syndrome,<11,<11
30JUN2022,WA,Intellectual Disability,Q93.4 - Cri du  Chat syndrome,20,22
30JUN2022,WA,Intellectual Disability,Q93.5 - Angelman  syndrome,48,53
30JUN2022,WA,Intellectual Disability,"Q99 - Other chromosomal conditions not listed elsewhere, including Kabuki syndrome,Williams syndrome",484,695
30JUN2022,WA,Intellectual Disability,Q99.2 - Fragile X syndrome,72,97
30JUN2022,WA,Missing,,<11,33486
30JUN2022,WA,Missing,F849 - Migrated Record with DD or GDD [Needs to be updated in CRM],<11,13
30JUN2022,WA,Multiple Sclerosis,G35 - Multiple sclerosis,896,909
30JUN2022,WA,Other,B22 - Human immune deficiency virus (HIV) disease,<11,<11
30JUN2022,WA,Other,B99 - Other unspecified infectious diseases,<11,<11
30JUN2022,WA,Other,C71 - Malignant neoplasm of brain,<11,<11
30JUN2022,WA,Other,C79.9 - Metastatic cancer,<11,<11
30JUN2022,WA,Other,C96 - Malignant neoplasm of blood or immune disease,<11,<11
30JUN2022,WA,Other,D89.9 - Autoimmune disorders,<11,<11
30JUN2022,WA,Other,E14 - Diabetes mellitus,<11,279
30JUN2022,WA,Other,E66 - Obesity,<11,61
30JUN2022,WA,Other,E70.0 - Classical Phenylketonuria,<11,<11
30JUN2022,WA,Other,E88 - Other metabolic disorders,16,22
30JUN2022,WA,Other,F03.9 - Dementia - Rapidly progressing,24,27
30JUN2022,WA,Other,F44.4 - Functional neurological disorder (FND),16,18
30JUN2022,WA,Other,F44.5 - Functional Seizures,<11,<11
30JUN2022,WA,Other,F80 - Other Language disorder,11,26
30JUN2022,WA,Other,F80.9 - Development language disorder,22,43
30JUN2022,WA,Other,F81.0 - Specific learning disorder,<11,11
30JUN2022,WA,Other,F81.8 - Dysgraphia,<11,<11
30JUN2022,WA,Other,F90 - Attention deficit hyperactive disorder (ADHD),12,276
30JUN2022,WA,Other,F90.0 - Peripheral neuropathy,12,27
30JUN2022,WA,Other,F91.3 - Oppositional Defiant Disorder (ODD),<11,16
30JUN2022,WA,Other,F91.9 - Conduct Disorder (CD),<11,<11
30JUN2022,WA,Other,G11.8 - Other hereditary ataxias,<11,<11
30JUN2022,WA,Other,G30.0 - Dementia - Early Onset,68,91
30JUN2022,WA,Other,G83.1 - Plegia,14,22
30JUN2022,WA,Other,G89.4 - Chronic pain,<11,33
30JUN2022,WA,Other,G90.5 - Chronic Regional Pain Syndrome,<11,<11
30JUN2022,WA,Other,I49.8 - Postural Orthostatic Tachycardia Syndrome (POTS),<11,11
30JUN2022,WA,Other,I89.0 - Lymphoedema,<11,<11
30JUN2022,WA,Other,J44.9 - Chronic lung disease,22,44
30JUN2022,WA,Other,J449A - Chronic Obstructive Pulmonary Disease (COPD),<11,19
30JUN2022,WA,Other,M19.9 - Osteoarthritis,<11,44
30JUN2022,WA,Other,M32 - Systemic lupus erythematosus,<11,<11
30JUN2022,WA,Other,M45 - Ankylosing spondylitis,17,29
30JUN2022,WA,Other,M79.7 - Fibromyalgia,11,36
30JUN2022,WA,Other,N18 - Renal failure,<11,27
30JUN2022,WA,Other,Q37 - Cleft palate and lip,<11,<11
30JUN2022,WA,Other,Q79.6 - Ehlers Danlos,47,78
30JUN2022,WA,Other,R48 - Dyslexia,<11,11
30JUN2022,WA,Other,R48.2 - Childhood apraxia of speech,54,63
30JUN2022,WA,Other,R53.8 - Chronic fatigue /ME,<11,<11
30JUN2022,WA,Other,R62.5 - Short stature,<11,<11
30JUN2022,WA,Other,S14.3 - Brachial plexus injury,<11,<11
30JUN2022,WA,Other,Z89 - Amputation - Single limb or upper/lower limb,250,261
30JUN2022,WA,Other,Z89.1 - Amputation - Multiple,31,38
30JUN2022,WA,Other Neurological,F00 - Alzheimer's disease,211,227
30JUN2022,WA,Other Neurological,F03 - Unspecified dementia,129,192
30JUN2022,WA,Other Neurological,G10 - Huntington disease,117,121
30JUN2022,WA,Other Neurological,G12.2 - Motor neuron disease (also called amytrophic lateral sclerosis),94,95
30JUN2022,WA,Other Neurological,G20 - Parkinson's disease,242,263
30JUN2022,WA,Other Neurological,G40 - Epilepsy,114,1652
30JUN2022,WA,Other Neurological,G71.0 - Muscular dystrophy,206,215
30JUN2022,WA,Other Neurological,G99 - Other Neurological,964,1780
30JUN2022,WA,Other Neurological,G99 - Other Neurological (List A),36,62
30JUN2022,WA,Other Neurological,G99 - Other Neurological (List C),<11,<11
30JUN2022,WA,Other Physical,M05 - Rheumatoid arthritis,124,180
30JUN2022,WA,Other Physical,M12 - Other arthritis,38,166
30JUN2022,WA,Other Physical,M95 - Other Physical,1509,3189
30JUN2022,WA,Other Physical,T05 - Multiple traumatic amputations,122,134
30JUN2022,WA,Other Sensory/Speech,R47 - Other Sensory/Speech,111,866
30JUN2022,WA,Psychosocial disability,F11 - Alcohol dependency,<11,24
30JUN2022,WA,Psychosocial disability,F19 - Other substance dependency,<11,26
30JUN2022,WA,Psychosocial disability,F20 - Schizophrenia,2572,2880
30JUN2022,WA,Psychosocial disability,F25.9 - Schizoaffective Disorder,217,258
30JUN2022,WA,Psychosocial disability,F31 - Bipolar affective disorder,431,712
30JUN2022,WA,Psychosocial disability,F32 - Major depressive illness,371,1034
30JUN2022,WA,Psychosocial disability,F41 - Other Anxiety disorders,132,1754
30JUN2022,WA,Psychosocial disability,F42 - Obsessive-compulsive disorder,19,193
30JUN2022,WA,Psychosocial disability,F43 - Post traumatic stress disorder (PTSD),208,466
30JUN2022,WA,Psychosocial disability,F60.3 - Borderline personality disorder,167,332
30JUN2022,WA,Psychosocial disability,F95.2 - Tourette syndrome,<11,23
30JUN2022,WA,Psychosocial disability,F99 - Other psychosocial disorders,739,1799
30JUN2022,WA,Psychosocial disability,R63 - Anorexia,<11,<11
30JUN2022,WA,Spinal Cord Injury,C72.7 - Malignant neoplasm of spinal cord (Incomplete),<11,<11
30JUN2022,WA,Spinal Cord Injury,T09.5 - Spinal cord injury (Complete),238,251
30JUN2022,WA,Spinal Cord Injury,T09.7 - Spinal cord injury (Incomplete),398,440
30JUN2022,WA,Stroke,I69 - Stroke,646,787
30JUN2022,WA,Visual Impairment,E70.3 - Albinism,<11,13
30JUN2022,WA,Visual Impairment,F72.9 - Myopathy (variations),<11,<11
30JUN2022,WA,Visual Impairment,H54 - Visual impairment (including blindness),781,1556
30JUN2022,WA,Visual Impairment,Q15.9 - Congenital eye condition,12,17
31MAR2022,ACT,ABI,G71.9 - Glioblastoma,<11,<11
31MAR2022,ACT,ABI,G93.1 - Hypoxic brain injury,<11,<11
31MAR2022,ACT,ABI,T90 - Traumatic brain injury [also called head injury and acquired brain damage],211,247
31MAR2022,ACT,Autism,F84.0 - Autism disorder,2898,3099
31MAR2022,ACT,Autism,F84.2 - Rett syndrome,<11,<11
31MAR2022,ACT,Autism,F84.5 - Asperger syndrome,105,149
31MAR2022,ACT,Cerebral Palsy,G80 - Cerebral palsy,297,355
31MAR2022,ACT,Developmental delay,F84.90 - Developmental delay [not to be used over 6 years of age ],773,1463
31MAR2022,ACT,Down Syndrome,Q90 - Down syndrome,223,238
31MAR2022,ACT,Global developmental delay,F84.91 - Global developmental delay [not to be used over 6 years of age],144,406
31MAR2022,ACT,Hearing Impairment,H90 - Hearing loss,436,590
31MAR2022,ACT,Hearing Impairment,Q16.9 - Congenital hearing condition,<11,<11
31MAR2022,ACT,Intellectual Disability,F70 - Mild intellectual disability,249,441
31MAR2022,ACT,Intellectual Disability,F71 - Moderate intellectual disability,524,862
31MAR2022,ACT,Intellectual Disability,F72 - Severe intellectual disability,70,99
31MAR2022,ACT,Intellectual Disability,F73 - Profound intellectual disability,17,23
31MAR2022,ACT,Intellectual Disability,F79 - Unspecified intellectual disability [try not to use],56,148
31MAR2022,ACT,Intellectual Disability,F84.8 - Pervasive developmental disorder [try not to use],<11,<11
31MAR2022,ACT,Intellectual Disability,Q02 - Microcephaly,11,17
31MAR2022,ACT,Intellectual Disability,"Q04 - Other congenital brain conditions, for example tuberous sclerosis",14,27
31MAR2022,ACT,Intellectual Disability,Q05 - Spina bifida,36,43
31MAR2022,ACT,Intellectual Disability,Q86.0 - Foetal alcohol syndrome,<11,15
31MAR2022,ACT,Intellectual Disability,Q860D - Foetal Alcohol Spectrum Disorder (FASD),<11,<11
31MAR2022,ACT,Intellectual Disability,Q87.1 - Cornelia de Lange syndrome,<11,<11
31MAR2022,ACT,Intellectual Disability,Q87.1 - Prader Willi syndrome,<11,<11
31MAR2022,ACT,Intellectual Disability,Q89 - Other congenital conditions,44,74
31MAR2022,ACT,Intellectual Disability,Q93.4 - Cri du  Chat syndrome,<11,<11
31MAR2022,ACT,Intellectual Disability,Q93.5 - Angelman  syndrome,<11,<11
31MAR2022,ACT,Intellectual Disability,"Q99 - Other chromosomal conditions not listed elsewhere, including Kabuki syndrome,Williams syndrome",157,217
31MAR2022,ACT,Intellectual Disability,Q99.2 - Fragile X syndrome,26,35
31MAR2022,ACT,Missing,F849 - Migrated Record with DD or GDD [Needs to be updated in CRM],<11,77
31MAR2022,ACT,Multiple Sclerosis,G35 - Multiple sclerosis,204,212
31MAR2022,ACT,Other,B99 - Other unspecified infectious diseases,<11,<11
31MAR2022,ACT,Other,C71 - Malignant neoplasm of brain,<11,<11
31MAR2022,ACT,Other,C79.9 - Metastatic cancer,<11,<11
31MAR2022,ACT,Other,C96 - Malignant neoplasm of blood or immune disease,<11,<11
31MAR2022,ACT,Other,D89.9 - Autoimmune disorders,<11,<11
31MAR2022,ACT,Other,E14 - Diabetes mellitus,<11,43
31MAR2022,ACT,Other,E66 - Obesity,<11,26
31MAR2022,ACT,Other,E70.0 - Classical Phenylketonuria,<11,<11
31MAR2022,ACT,Other,E88 - Other metabolic disorders,<11,11
31MAR2022,ACT,Other,F03.9 - Dementia - Rapidly progressing,<11,<11
31MAR2022,ACT,Other,F44.4 - Functional neurological disorder (FND),<11,<11
31MAR2022,ACT,Other,F80 - Other Language disorder,<11,<11
31MAR2022,ACT,Other,F80.9 - Development language disorder,<11,<11
31MAR2022,ACT,Other,F81.0 - Specific learning disorder,<11,<11
31MAR2022,ACT,Other,F90 - Attention deficit hyperactive disorder (ADHD),<11,74
31MAR2022,ACT,Other,F90.0 - Peripheral neuropathy,<11,<11
31MAR2022,ACT,Other,F91.3 - Oppositional Defiant Disorder (ODD),<11,<11
31MAR2022,ACT,Other,G11.8 - Other hereditary ataxias,<11,<11
31MAR2022,ACT,Other,G30.0 - Dementia - Early Onset,14,17
31MAR2022,ACT,Other,G89.4 - Chronic pain,<11,<11
31MAR2022,ACT,Other,I89.0 - Lymphoedema,<11,<11
31MAR2022,ACT,Other,J44.9 - Chronic lung disease,<11,14
31MAR2022,ACT,Other,J449A - Chronic Obstructive Pulmonary Disease (COPD),<11,<11
31MAR2022,ACT,Other,M19.9 - Osteoarthritis,<11,<11
31MAR2022,ACT,Other,M32 - Systemic lupus erythematosus,<11,<11
31MAR2022,ACT,Other,M45 - Ankylosing spondylitis,<11,<11
31MAR2022,ACT,Other,M79.7 - Fibromyalgia,<11,<11
31MAR2022,ACT,Other,N18 - Renal failure,<11,<11
31MAR2022,ACT,Other,Q37 - Cleft palate and lip,<11,<11
31MAR2022,ACT,Other,Q79.6 - Ehlers Danlos,<11,12
31MAR2022,ACT,Other,R48 - Dyslexia,<11,<11
31MAR2022,ACT,Other,R48.2 - Childhood apraxia of speech,<11,<11
31MAR2022,ACT,Other,R53.8 - Chronic fatigue /ME,<11,<11
31MAR2022,ACT,Other,R62.5 - Short stature,<11,<11
31MAR2022,ACT,Other,S14.3 - Brachial plexus injury,<11,<11
31MAR2022,ACT,Other,Z89 - Amputation - Single limb or upper/lower limb,18,21
31MAR2022,ACT,Other,Z89.1 - Amputation - Multiple,<11,<11
31MAR2022,ACT,Other Neurological,F00 - Alzheimer's disease,31,40
31MAR2022,ACT,Other Neurological,F03 - Unspecified dementia,25,39
31MAR2022,ACT,Other Neurological,G10 - Huntington disease,<11,<11
31MAR2022,ACT,Other Neurological,G12.2 - Motor neuron disease (also called amytrophic lateral sclerosis),12,12
31MAR2022,ACT,Other Neurological,G20 - Parkinson's disease,63,69
31MAR2022,ACT,Other Neurological,G40 - Epilepsy,25,282
31MAR2022,ACT,Other Neurological,G71.0 - Muscular dystrophy,39,47
31MAR2022,ACT,Other Neurological,G99 - Other Neurological,136,294
31MAR2022,ACT,Other Neurological,G99 - Other Neurological (List A),46,111
31MAR2022,ACT,Other Neurological,G99 - Other Neurological (List C),<11,<11
31MAR2022,ACT,Other Physical,M05 - Rheumatoid arthritis,63,84
31MAR2022,ACT,Other Physical,M12 - Other arthritis,20,68
31MAR2022,ACT,Other Physical,M95 - Other Physical,401,861
31MAR2022,ACT,Other Physical,T05 - Multiple traumatic amputations,52,64
31MAR2022,ACT,Other Sensory/Speech,R47 - Other Sensory/Speech,77,403
31MAR2022,ACT,Psychosocial disability,F11 - Alcohol dependency,<11,<11
31MAR2022,ACT,Psychosocial disability,F19 - Other substance dependency,<11,<11
31MAR2022,ACT,Psychosocial disability,F20 - Schizophrenia,636,716
31MAR2022,ACT,Psychosocial disability,F25.9 - Schizoaffective Disorder,33,38
31MAR2022,ACT,Psychosocial disability,F31 - Bipolar affective disorder,137,224
31MAR2022,ACT,Psychosocial disability,F32 - Major depressive illness,52,185
31MAR2022,ACT,Psychosocial disability,F41 - Other Anxiety disorders,26,357
31MAR2022,ACT,Psychosocial disability,F42 - Obsessive-compulsive disorder,<11,49
31MAR2022,ACT,Psychosocial disability,F43 - Post traumatic stress disorder (PTSD),24,59
31MAR2022,ACT,Psychosocial disability,F60.3 - Borderline personality disorder,36,77
31MAR2022,ACT,Psychosocial disability,F95.2 - Tourette syndrome,<11,<11
31MAR2022,ACT,Psychosocial disability,F99 - Other psychosocial disorders,163,561
31MAR2022,ACT,Psychosocial disability,R63 - Anorexia,<11,<11
31MAR2022,ACT,Spinal Cord Injury,T09.5 - Spinal cord injury (Complete),30,37
31MAR2022,ACT,Spinal Cord Injury,T09.7 - Spinal cord injury (Incomplete),47,55
31MAR2022,ACT,Stroke,I69 - Stroke,136,171
31MAR2022,ACT,Visual Impairment,E70.3 - Albinism,<11,<11
31MAR2022,ACT,Visual Impairment,F72.9 - Myopathy (variations),<11,<11
31MAR2022,ACT,Visual Impairment,H54 - Visual impairment (including blindness),174,312
31MAR2022,ACT,Visual Impairment,Q15.9 - Congenital eye condition,<11,<11
31MAR2022,Mis,ABI,T90 - Traumatic brain injury [also called head injury and acquired brain damage],<11,<11
31MAR2022,Mis,Autism,F84.0 - Autism disorder,<11,<11
31MAR2022,Mis,Developmental delay,F84.90 - Developmental delay [not to be used over 6 years of age ],<11,<11
31MAR2022,Mis,Global developmental delay,F84.91 - Global developmental delay [not to be used over 6 years of age],<11,<11
31MAR2022,Mis,Hearing Impairment,H90 - Hearing loss,<11,<11
31MAR2022,Mis,Intellectual Disability,F71 - Moderate intellectual disability,<11,<11
31MAR2022,Mis,Multiple Sclerosis,G35 - Multiple sclerosis,<11,<11
31MAR2022,Mis,Other,M45 - Ankylosing spondylitis,<11,<11
31MAR2022,Mis,Other,Z89 - Amputation - Single limb or upper/lower limb,<11,<11
31MAR2022,Mis,Other Neurological,G99 - Other Neurological,<11,<11
31MAR2022,Mis,Other Sensory/Speech,R47 - Other Sensory/Speech,<11,<11
31MAR2022,Mis,Psychosocial disability,F19 - Other substance dependency,<11,<11
31MAR2022,Mis,Psychosocial disability,F20 - Schizophrenia,<11,<11
31MAR2022,Mis,Psychosocial disability,F25.9 - Schizoaffective Disorder,<11,<11
31MAR2022,Mis,Psychosocial disability,F31 - Bipolar affective disorder,<11,<11
31MAR2022,Mis,Psychosocial disability,F32 - Major depressive illness,<11,<11
31MAR2022,Mis,Psychosocial disability,F41 - Other Anxiety disorders,<11,<11
31MAR2022,Mis,Psychosocial disability,F43 - Post traumatic stress disorder (PTSD),<11,<11
31MAR2022,Mis,Psychosocial disability,F60.3 - Borderline personality disorder,<11,<11
31MAR2022,Mis,Psychosocial disability,F99 - Other psychosocial disorders,<11,<11
31MAR2022,NSW,ABI,G71.9 - Glioblastoma,14,16
31MAR2022,NSW,ABI,G93.1 - Hypoxic brain injury,151,208
31MAR2022,NSW,ABI,T90 - Traumatic brain injury [also called head injury and acquired brain damage],4395,5535
31MAR2022,NSW,Autism,F84.0 - Autism disorder,51197,56571
31MAR2022,NSW,Autism,F84.2 - Rett syndrome,137,155
31MAR2022,NSW,Autism,F84.5 - Asperger syndrome,799,1626
31MAR2022,NSW,Cerebral Palsy,G80 - Cerebral palsy,5488,7070
31MAR2022,NSW,Developmental delay,F84.90 - Developmental delay [not to be used over 6 years of age ],11831,20641
31MAR2022,NSW,Down Syndrome,Q90 - Down syndrome,3741,4112
31MAR2022,NSW,Global developmental delay,F84.91 - Global developmental delay [not to be used over 6 years of age],3761,8820
31MAR2022,NSW,Hearing Impairment,H90 - Hearing loss,7557,11096
31MAR2022,NSW,Hearing Impairment,Q16.9 - Congenital hearing condition,76,215
31MAR2022,NSW,Intellectual Disability,F70 - Mild intellectual disability,6254,11638
